,date,no1,no2,no3,no4,no5,no6,no7,singular,plural,l10,l20,l30,l40,l50
341,2019-01-29,3,10,14,24,32,45,29,2,4,2,1,1,1,1
342,2019-01-26,14,27,29,41,45,46,21,4,2,0,1,2,0,3
343,2019-01-24,11,18,33,41,43,46,36,4,2,0,2,0,1,3
344,2019-01-22,3,19,25,30,33,48,44,4,2,1,1,2,1,1
345,2019-01-19,13,24,31,34,44,47,8,3,3,0,1,1,2,2
346,2019-01-17,16,18,28,35,36,41,37,2,4,0,2,1,2,1
347,2019-01-15,10,16,17,33,44,48,7,2,4,1,2,0,1,2
348,2019-01-13,10,18,35,37,48,49,27,3,3,1,1,0,2,2
349,2019-01-10,6,7,28,31,36,43,23,3,3,2,0,1,2,1
350,2019-01-08,4,5,12,23,30,40,10,2,4,2,1,2,1,0
351,2019-01-05,12,13,16,19,23,45,2,4,2,0,4,1,0,1
352,2019-01-03,8,23,25,30,32,45,24,3,3,1,0,3,1,1
353,2018-12-30,6,7,13,33,35,46,43,4,2,2,1,0,2,1
354,2018-12-27,1,4,17,22,23,35,37,4,2,2,1,2,1,0
355,2018-12-25,2,14,16,32,41,47,23,2,4,1,2,0,1,2
356,2018-12-22,7,20,33,46,48,49,4,3,3,1,1,0,1,3
357,2018-12-20,4,7,8,12,13,26,42,2,4,3,2,1,0,0
358,2018-12-18,1,10,11,13,30,33,45,4,2,2,2,1,1,0
359,2018-12-15,5,10,30,33,36,37,22,3,3,2,0,1,3,0
360,2018-12-13,1,15,21,23,24,33,39,5,1,1,1,3,1,0
361,2018-12-11,7,8,10,20,33,42,22,2,4,3,1,0,1,1
362,2018-12-08,20,27,29,40,45,48,43,3,3,0,1,2,1,2
363,2018-12-06,8,20,32,40,44,46,34,0,6,1,1,0,2,2
364,2018-12-04,8,11,14,20,22,31,19,2,4,1,3,1,1,0
365,2018-12-01,2,20,29,32,38,39,47,2,4,1,1,1,3,0
366,2018-11-29,14,25,31,34,36,43,35,3,3,0,1,1,3,1
367,2018-11-27,7,8,15,27,29,38,39,4,2,2,1,2,1,0
368,2018-11-24,3,8,13,25,30,34,32,3,3,2,1,2,1,0
369,2018-11-22,15,16,18,22,26,48,34,1,5,0,3,2,0,1
370,2018-11-20,4,12,14,17,29,35,38,3,3,1,3,1,1,0
371,2018-11-17,5,9,12,14,42,43,45,3,3,2,2,0,0,2
372,2018-11-15,2,10,29,32,40,41,44,2,4,2,0,1,2,1
373,2018-11-13,8,22,30,34,35,37,29,2,4,1,0,2,3,0
374,2018-11-11,6,24,26,36,44,49,8,1,5,1,0,2,1,2
375,2018-11-08,9,16,22,24,40,47,17,2,4,1,1,2,1,1
376,2018-11-06,1,8,22,23,46,47,12,3,3,2,0,2,0,2
377,2018-11-03,4,19,24,38,39,44,46,2,4,1,1,1,2,1
378,2018-11-01,9,13,15,16,20,32,12,3,3,1,4,0,1,0
379,2018-10-30,4,7,10,22,34,42,38,1,5,3,0,1,1,1
380,2018-10-27,1,5,15,39,45,47,43,6,0,2,1,0,1,2
381,2018-10-25,6,13,20,25,27,29,21,4,2,1,2,3,0,0
382,2018-10-23,6,17,20,34,36,44,15,1,5,1,2,0,2,1
383,2018-10-20,10,13,22,25,40,42,5,2,4,1,1,2,1,1
384,2018-10-16,7,11,19,32,45,46,37,4,2,1,2,0,1,2
385,2018-10-14,8,14,21,24,34,43,1,2,4,1,1,2,1,1
386,2018-10-11,7,9,19,29,39,42,41,5,1,2,1,1,1,1
387,2018-10-09,7,9,18,27,44,45,15,4,2,2,1,1,0,2
388,2018-10-06,2,10,35,39,44,49,8,3,3,2,0,0,2,2
389,2018-10-04,13,19,34,35,45,46,27,4,2,0,2,0,2,2
390,2018-10-02,13,18,23,28,33,49,19,4,2,0,2,2,1,1
391,2018-09-29,9,31,34,35,37,38,16,4,2,1,0,0,5,0
392,2018-09-27,14,17,30,46,48,49,36,2,4,0,2,1,0,3
393,2018-09-25,5,14,20,22,24,48,4,1,5,1,2,2,0,1
394,2018-09-23,2,13,21,23,32,40,30,3,3,1,1,2,2,0
395,2018-09-20,5,6,17,26,40,41,46,3,3,2,1,1,1,1
396,2018-09-18,9,11,18,23,32,48,26,3,3,1,2,1,1,1
397,2018-09-15,4,6,11,33,37,48,41,3,3,2,1,0,2,1
398,2018-09-13,14,20,22,39,41,48,35,2,4,0,2,1,1,2
399,2018-09-11,31,36,38,45,47,49,37,4,2,0,0,0,3,3
400,2018-09-08,7,9,12,18,41,46,33,3,3,2,2,0,0,2
401,2018-09-06,17,26,30,33,38,49,47,3,3,0,1,2,2,1
402,2018-09-04,4,5,33,36,44,47,13,3,3,2,0,0,2,2
403,2018-09-01,10,13,20,26,35,45,37,3,3,1,2,1,1,1
404,2018-08-30,4,15,21,23,44,46,13,3,3,1,1,2,0,2
405,2018-08-28,9,18,26,30,36,46,2,1,5,1,1,2,1,1
406,2018-08-25,3,4,19,28,31,48,27,3,3,2,1,1,1,1
407,2018-08-23,12,14,22,30,38,44,34,0,6,0,2,2,1,1
408,2018-08-21,3,10,18,28,40,47,4,2,4,2,1,1,1,1
409,2018-08-18,2,14,24,37,42,47,20,2,4,1,1,1,1,2
410,2018-08-16,9,13,16,27,29,41,37,5,1,1,2,2,0,1
411,2018-08-14,32,37,38,42,43,49,24,3,3,0,0,0,3,3
412,2018-08-11,1,11,25,38,47,49,37,5,1,1,1,1,1,2
413,2018-08-09,8,10,11,20,21,34,13,2,4,2,2,1,1,0
414,2018-08-07,4,21,25,39,46,47,12,4,2,1,0,2,1,2
415,2018-08-04,4,15,23,34,37,48,30,3,3,1,1,1,2,1
416,2018-08-02,3,5,11,34,35,45,28,5,1,2,1,0,2,1
417,2018-07-31,24,27,36,43,44,46,30,2,4,0,0,2,1,3
418,2018-07-28,5,7,11,26,30,43,17,4,2,2,1,2,0,1
419,2018-07-26,22,32,37,44,46,49,38,2,4,0,0,1,2,3
420,2018-07-24,2,16,17,27,32,37,12,3,3,1,2,1,2,0
421,2018-07-21,13,14,15,37,38,44,40,3,3,0,3,0,2,1
422,2018-07-19,12,16,23,25,40,42,20,2,4,0,2,2,1,1
423,2018-07-17,6,10,32,36,41,48,47,1,5,2,0,0,2,2
424,2018-07-14,7,13,22,27,33,36,45,4,2,1,1,2,2,0
425,2018-07-12,1,5,7,8,30,33,22,4,2,4,0,1,1,0
426,2018-07-10,6,8,29,38,41,49,2,3,3,2,0,1,1,2
427,2018-07-07,8,17,20,26,40,46,19,1,5,1,2,1,1,1
428,2018-07-05,1,13,20,34,38,40,29,2,4,1,2,0,3,0
429,2018-07-03,3,21,22,41,45,49,10,5,1,1,0,2,0,3
430,2018-06-30,5,6,16,18,30,32,27,1,5,2,2,1,1,0
431,2018-06-28,6,13,23,29,38,45,41,4,2,1,1,2,1,1
432,2018-06-26,7,8,12,17,33,42,26,3,3,2,2,0,1,1
433,2018-06-23,2,9,16,18,24,46,47,1,5,2,2,1,0,1
434,2018-06-21,16,23,24,31,33,34,18,3,3,0,1,2,3,0
435,2018-06-19,2,7,21,31,33,42,24,4,2,2,0,1,2,1
436,2018-06-17,1,7,20,21,35,48,22,4,2,2,1,1,1,1
437,2018-06-14,2,10,24,28,35,39,27,2,4,2,0,2,2,0
438,2018-06-12,30,31,34,40,41,42,33,2,4,0,0,1,3,2
439,2018-06-09,11,23,35,41,46,49,47,5,1,0,1,1,1,3
440,2018-06-07,5,32,34,36,38,43,25,2,4,1,0,0,4,1
441,2018-06-05,6,10,24,34,40,45,9,1,5,2,0,1,2,1
442,2018-06-02,4,15,30,33,38,41,16,3,3,1,1,1,2,1
443,2018-05-31,3,5,28,33,40,49,32,4,2,2,0,1,2,1
444,2018-05-29,3,6,11,22,45,46,1,3,3,2,1,1,0,2
445,2018-05-26,1,12,22,40,42,44,28,1,5,1,1,1,1,2
446,2018-05-24,4,5,7,11,12,13,18,4,2,3,3,0,0,0
447,2018-05-22,7,12,14,22,31,33,38,3,3,1,2,1,2,0
448,2018-05-19,14,23,29,36,37,47,25,4,2,0,1,2,2,1
449,2018-05-17,3,16,23,30,43,46,26,3,3,1,1,2,0,2
450,2018-05-15,5,8,9,19,32,44,39,3,3,3,1,0,1,1
451,2018-05-13,1,6,9,19,21,23,43,5,1,3,1,2,0,0
452,2018-05-10,12,19,25,31,36,49,11,4,2,0,2,1,2,1
453,2018-05-08,3,14,18,28,31,40,38,2,4,1,2,1,2,0
454,2018-05-05,3,24,40,44,45,49,8,3,3,1,0,1,1,3
455,2018-05-03,12,24,30,31,32,34,41,1,5,0,1,2,3,0
456,2018-05-01,1,5,10,20,21,25,43,4,2,3,1,2,0,0
457,2018-04-28,2,15,17,18,21,44,14,3,3,1,3,1,0,1
458,2018-04-26,8,12,20,33,35,45,42,3,3,1,2,0,2,1
459,2018-04-24,12,20,21,28,33,41,9,3,3,0,2,2,1,1
460,2018-04-22,10,14,28,30,42,44,35,0,6,1,1,2,0,2
461,2018-04-19,20,21,33,40,45,49,43,4,2,0,1,1,2,2
462,2018-04-17,3,8,16,22,28,32,24,1,5,2,1,2,1,0
463,2018-04-14,12,14,15,36,38,40,42,1,5,0,3,0,3,0
464,2018-04-12,1,2,9,11,37,41,18,5,1,3,1,0,1,1
465,2018-04-10,1,15,23,34,43,48,25,4,2,1,1,1,1,2
466,2018-04-07,4,20,23,27,31,43,3,4,2,1,1,2,1,1
467,2018-04-05,19,24,29,39,40,42,30,3,3,0,1,2,2,1
468,2018-04-03,21,29,31,41,46,49,36,5,1,0,0,2,1,3
469,2018-03-31,9,13,16,18,19,34,21,3,3,1,4,0,1,0
470,2018-03-29,5,12,24,27,30,47,43,3,3,1,1,3,0,1
471,2018-03-24,12,19,23,28,35,45,6,4,2,0,2,2,1,1
472,2018-03-22,10,18,21,29,33,46,36,3,3,1,1,2,1,1
473,2018-03-20,3,22,27,29,42,45,10,4,2,1,0,3,0,2
474,2018-03-17,4,6,23,33,40,47,30,3,3,2,0,1,2,1
475,2018-03-15,13,16,25,35,38,49,33,4,2,0,2,1,2,1
476,2018-03-13,5,16,20,25,34,42,2,2,4,1,2,1,1,1
477,2018-03-10,7,18,19,26,27,39,2,4,2,1,2,2,1,0
478,2018-03-08,1,6,30,43,44,48,7,2,4,2,0,1,0,3
479,2018-03-06,2,11,17,19,35,37,20,5,1,1,3,0,2,0
480,2018-03-04,6,10,11,23,28,43,21,3,3,2,1,2,0,1
481,2018-03-01,2,14,15,17,18,29,1,3,3,1,4,1,0,0
482,2018-02-27,13,24,28,31,41,43,16,4,2,0,1,2,1,2
483,2018-02-24,17,20,34,38,42,45,5,2,4,0,2,0,2,2
484,2018-02-22,4,12,19,20,30,39,5,2,4,1,3,1,1,0
485,2018-02-20,3,5,25,42,43,44,2,4,2,2,0,1,0,3
486,2018-02-15,1,19,21,32,43,45,34,5,1,1,1,1,1,2
487,2018-02-13,2,9,18,27,32,42,12,2,4,2,1,1,1,1
488,2018-02-11,1,2,9,27,33,45,38,5,1,3,0,1,1,1
489,2018-02-08,13,16,22,28,37,41,34,3,3,0,2,2,1,1
490,2018-02-06,3,19,26,28,35,48,32,3,3,1,1,2,1,1
491,2018-02-03,2,4,12,25,40,49,8,2,4,2,1,1,1,1
492,2018-02-01,20,23,26,29,47,49,39,4,2,0,1,3,0,2
493,2018-01-30,4,7,11,12,40,49,25,3,3,2,2,0,1,1
494,2018-01-27,8,17,26,33,43,45,40,4,2,1,1,1,1,2
495,2018-01-25,3,14,23,36,40,47,20,3,3,1,1,1,2,1
496,2018-01-23,3,20,27,32,37,41,44,4,2,1,1,1,2,1
497,2018-01-20,2,5,23,24,27,34,8,3,3,2,0,3,1,0
498,2018-01-16,2,21,27,30,36,37,4,3,3,1,0,3,2,0
499,2018-01-11,3,29,31,43,47,49,19,6,0,1,0,1,1,3
500,2018-01-06,1,12,21,31,36,49,23,4,2,1,1,1,2,1
501,2018-01-02,12,18,28,35,39,42,36,2,4,0,2,1,2,1
502,2017-12-30,1,13,22,25,36,38,37,3,3,1,1,2,2,0
503,2017-12-28,15,17,23,40,44,46,11,3,3,0,2,1,1,2
504,2017-12-26,2,7,16,28,30,37,12,2,4,2,1,2,1,0
505,2017-12-24,1,16,26,34,39,47,11,3,3,1,1,1,2,1
506,2017-12-21,14,21,22,28,30,47,3,2,4,0,1,4,0,1
507,2017-12-19,3,9,33,38,44,49,24,4,2,2,0,0,2,2
508,2017-12-16,1,3,6,9,24,28,36,3,3,4,0,2,0,0
509,2017-12-14,7,10,20,25,34,35,8,3,3,2,1,1,2,0
510,2017-12-12,4,15,29,34,38,48,30,2,4,1,1,1,2,1
511,2017-12-09,22,24,29,35,38,48,30,2,4,0,0,3,2,1
512,2017-12-07,1,25,34,37,39,47,18,5,1,1,0,1,3,1
513,2017-12-05,7,9,14,18,20,44,29,2,4,2,3,0,0,1
514,2017-12-02,7,14,19,27,28,38,46,3,3,1,2,2,1,0
515,2017-11-30,4,10,32,35,38,47,49,2,4,2,0,0,3,1
516,2017-11-28,6,8,9,23,36,40,19,2,4,3,0,1,2,0
517,2017-11-25,5,13,16,28,40,41,2,3,3,1,2,1,1,1
518,2017-11-23,3,4,30,37,39,42,32,3,3,2,0,1,2,1
519,2017-11-21,8,27,30,35,36,43,31,3,3,1,0,2,2,1
520,2017-11-18,19,24,26,30,36,41,43,2,4,0,1,3,1,1
521,2017-11-16,3,8,20,34,40,46,24,1,5,2,1,0,2,1
522,2017-11-14,1,15,20,28,33,43,18,4,2,1,2,1,1,1
523,2017-11-12,12,16,22,28,36,37,45,1,5,0,2,2,2,0
524,2017-11-09,3,32,36,46,48,49,29,2,4,1,0,0,2,3
525,2017-11-07,3,18,19,35,38,40,48,3,3,1,2,0,3,0
526,2017-11-04,23,30,32,33,43,44,28,3,3,0,0,2,2,2
527,2017-11-02,5,18,20,32,36,40,7,1,5,1,2,0,3,0
528,2017-10-31,21,26,29,35,45,49,41,5,1,0,0,3,1,2
529,2017-10-28,7,16,18,22,26,44,9,1,5,1,2,2,0,1
530,2017-10-26,4,5,20,29,35,38,36,3,3,2,1,1,2,0
531,2017-10-24,1,8,9,16,29,42,49,3,3,3,1,1,0,1
532,2017-10-21,8,16,18,30,43,45,27,2,4,1,2,1,0,2
533,2017-10-19,8,12,19,24,28,49,37,2,4,1,2,2,0,1
534,2017-10-17,2,4,19,30,35,47,25,3,3,2,1,1,1,1
535,2017-10-12,1,6,8,11,12,16,41,2,4,3,3,0,0,0
536,2017-10-10,6,17,22,26,32,45,24,2,4,1,1,2,1,1
537,2017-10-07,3,6,24,38,45,48,5,2,4,2,0,1,1,2
538,2017-10-04,10,16,22,23,26,46,25,1,5,1,1,3,0,1
539,2017-10-02,1,8,19,22,35,46,30,3,3,2,1,1,1,1
540,2017-09-30,2,11,19,20,33,49,6,4,2,1,3,0,1,1
541,2017-09-28,7,18,24,26,39,45,44,3,3,1,1,2,1,1
542,2017-09-26,2,10,19,27,31,33,16,4,2,2,1,1,2,0
543,2017-09-23,1,13,22,25,30,36,4,3,3,1,1,3,1,0
544,2017-09-21,1,3,4,5,32,39,10,4,2,4,0,0,2,0
545,2017-09-19,7,11,12,30,34,36,17,2,4,1,2,1,2,0
546,2017-09-17,3,12,16,23,36,47,33,3,3,1,2,1,1,1
547,2017-09-14,25,26,34,41,42,49,1,3,3,0,0,2,1,3
548,2017-09-12,21,23,30,38,44,49,37,3,3,0,0,3,1,2
549,2017-09-09,4,7,18,23,29,39,49,4,2,2,1,2,1,0
550,2017-09-07,10,19,27,29,41,46,17,4,2,1,1,2,0,2
551,2017-09-05,1,2,8,30,39,43,19,3,3,3,0,1,1,1
552,2017-09-02,1,5,11,23,24,27,15,5,1,2,1,3,0,0
553,2017-08-31,12,17,18,25,33,37,29,4,2,0,3,1,2,0
554,2017-08-29,12,24,26,34,44,48,4,0,6,0,1,2,1,2
555,2017-08-26,16,34,35,36,40,46,31,1,5,0,1,0,4,1
556,2017-08-24,4,7,10,21,28,47,17,3,3,3,0,2,0,1
557,2017-08-22,4,23,24,33,40,43,15,3,3,1,0,2,2,1
558,2017-08-19,2,23,32,34,43,45,22,3,3,1,0,1,2,2
559,2017-08-17,5,21,24,29,43,44,42,4,2,1,0,3,0,2
560,2017-08-15,3,4,7,19,20,23,27,4,2,3,2,1,0,0
561,2017-08-12,3,4,15,25,38,45,28,4,2,2,1,1,1,1
562,2017-08-10,18,22,25,32,33,42,29,2,4,0,1,2,2,1
563,2017-08-08,8,10,25,28,33,37,7,3,3,2,0,2,2,0
564,2017-08-05,14,25,32,35,39,48,31,3,3,0,1,1,3,1
565,2017-08-03,6,18,22,24,35,40,36,1,5,1,1,2,2,0
566,2017-08-01,10,25,26,32,36,37,46,2,4,1,0,2,3,0
567,2017-07-30,11,15,25,30,37,43,17,5,1,0,2,2,1,1
568,2017-07-27,3,4,31,37,42,44,40,3,3,2,0,0,2,2
569,2017-07-25,8,9,15,33,37,47,1,5,1,2,1,0,2,1
570,2017-07-22,4,6,27,36,47,49,3,3,3,2,0,1,1,2
571,2017-07-20,5,9,12,25,26,34,21,3,3,2,1,2,1,0
572,2017-07-18,6,14,32,33,40,46,10,1,5,1,1,0,3,1
573,2017-07-15,29,34,35,42,43,48,26,3,3,0,0,1,2,3
574,2017-07-13,4,5,25,27,29,41,18,5,1,2,0,3,0,1
575,2017-07-11,1,11,20,22,43,45,35,4,2,1,2,1,0,2
576,2017-07-08,3,8,11,21,36,48,37,3,3,2,1,1,1,1
577,2017-07-06,2,6,7,8,10,30,28,1,5,5,0,1,0,0
578,2017-07-04,2,5,15,26,27,38,18,3,3,2,1,2,1,0
579,2017-07-02,4,9,27,33,39,42,35,4,2,2,0,1,2,1
580,2017-06-29,11,16,26,27,29,37,19,4,2,0,2,3,1,0
581,2017-06-27,12,24,30,40,44,48,8,0,6,0,1,2,1,2
582,2017-06-24,3,28,30,32,37,42,11,2,4,1,0,2,2,1
583,2017-06-22,18,20,21,27,31,49,45,4,2,0,2,2,1,1
584,2017-06-20,15,18,20,25,35,45,34,4,2,0,3,1,1,1
585,2017-06-17,9,34,39,42,46,49,32,3,3,1,0,0,2,3
586,2017-06-15,1,2,5,12,18,19,44,3,3,3,3,0,0,0
587,2017-06-13,21,23,27,34,46,49,44,4,2,0,0,3,1,2
588,2017-06-10,1,13,18,23,30,44,42,3,3,1,2,2,0,1
589,2017-06-08,8,11,15,23,24,29,6,4,2,1,2,3,0,0
590,2017-06-06,8,24,26,30,47,49,35,2,4,1,0,3,0,2
591,2017-06-03,11,15,24,25,33,40,42,4,2,0,2,2,2,0
592,2017-06-01,4,18,23,28,36,45,33,2,4,1,1,2,1,1
593,2017-05-30,14,18,27,32,37,38,1,2,4,0,2,1,3,0
594,2017-05-27,5,7,18,22,33,43,27,4,2,2,1,1,1,1
595,2017-05-25,23,26,27,39,40,48,7,3,3,0,0,3,2,1
596,2017-05-23,7,13,17,23,29,46,49,5,1,1,2,2,0,1
597,2017-05-20,2,3,17,34,38,48,14,2,4,2,1,0,2,1
598,2017-05-18,7,11,20,28,41,49,32,4,2,1,2,1,0,2
599,2017-05-16,1,5,7,9,10,15,3,5,1,5,1,0,0,0
600,2017-05-14,1,7,12,18,27,33,20,4,2,2,2,1,1,0
601,2017-05-11,9,16,22,38,40,46,11,1,5,1,1,1,2,1
602,2017-05-09,6,22,23,31,36,45,12,3,3,1,0,2,2,1
603,2017-05-06,1,3,9,13,34,35,27,5,1,3,1,0,2,0
604,2017-05-04,4,17,21,32,36,46,27,2,4,1,1,1,2,1
605,2017-05-02,1,20,22,27,31,41,2,4,2,1,1,2,1,1
606,2017-04-29,5,8,14,22,31,48,33,2,4,2,1,1,1,1
607,2017-04-27,16,17,21,42,48,49,37,3,3,0,2,1,0,3
608,2017-04-25,1,21,22,45,46,49,14,4,2,1,0,2,0,3
609,2017-04-22,1,9,11,23,29,34,6,5,1,2,1,2,1,0
610,2017-04-18,4,10,11,18,29,38,28,2,4,2,2,1,1,0
611,2017-04-15,1,4,5,29,33,44,39,4,2,3,0,1,1,1
612,2017-04-13,4,10,25,26,38,49,34,2,4,2,0,2,1,1
613,2017-04-11,14,17,22,29,30,31,38,3,3,0,2,3,1,0
614,2017-04-08,2,11,14,20,27,30,19,2,4,1,3,2,0,0
615,2017-04-06,4,21,24,39,45,46,40,3,3,1,0,2,1,2
616,2017-04-04,3,9,19,33,40,41,26,5,1,2,1,0,2,1
617,2017-04-01,7,17,20,34,36,44,23,2,4,1,2,0,2,1
618,2017-03-30,18,19,21,30,38,48,7,2,4,0,2,2,1,1
619,2017-03-28,2,9,21,35,36,40,44,3,3,2,0,1,3,0
620,2017-03-25,9,10,23,30,38,48,16,2,4,2,0,2,1,1
621,2017-03-23,5,14,17,33,41,47,16,5,1,1,2,0,1,2
622,2017-03-21,8,12,20,25,37,46,2,2,4,1,2,1,1,1
623,2017-03-18,2,13,17,23,30,46,8,3,3,1,2,2,0,1
624,2017-03-16,1,2,11,19,40,48,4,3,3,2,2,0,1,1
625,2017-03-14,2,32,33,35,36,44,48,2,4,1,0,0,4,1
626,2017-03-11,1,4,20,27,32,39,15,3,3,2,1,1,2,0
627,2017-03-09,17,19,25,35,41,44,26,5,1,0,2,1,1,2
628,2017-03-07,2,14,18,19,40,43,42,2,4,1,3,0,1,1
629,2017-03-04,10,18,22,23,29,32,45,2,4,1,1,3,1,0
630,2017-03-02,6,13,31,42,43,45,34,4,2,1,1,0,1,3
631,2017-02-28,15,20,24,34,42,44,7,1,5,0,2,1,1,2
632,2017-02-25,4,12,19,20,25,26,8,2,4,1,3,2,0,0
633,2017-02-23,13,15,16,32,34,46,10,2,4,0,3,0,2,1
634,2017-02-21,1,7,13,29,32,44,20,4,2,2,1,1,1,1
635,2017-02-18,5,8,12,17,20,37,45,3,3,2,3,0,1,0
636,2017-02-16,5,8,23,34,41,44,7,3,3,2,0,1,1,2
637,2017-02-14,14,16,21,28,43,46,26,2,4,0,2,2,0,2
638,2017-02-12,7,21,26,30,38,47,15,3,3,1,0,3,1,1
639,2017-02-09,3,12,13,19,24,45,40,4,2,1,3,1,0,1
640,2017-02-07,6,11,22,25,32,33,24,3,3,1,1,2,2,0
641,2017-02-04,7,14,25,28,33,40,26,3,3,1,1,2,2,0
642,2017-02-01,13,14,18,23,29,35,45,4,2,0,3,2,1,0
643,2017-01-28,8,15,25,30,34,40,42,2,4,1,1,2,2,0
644,2017-01-26,13,24,28,29,31,44,10,3,3,0,1,3,1,1
645,2017-01-24,2,5,23,27,36,43,20,4,2,2,0,2,1,1
646,2017-01-21,8,27,28,37,38,49,33,3,3,1,0,2,2,1
647,2017-01-19,1,2,13,23,35,43,18,5,1,2,1,1,1,1
648,2017-01-17,26,27,28,36,42,47,33,2,4,0,0,3,1,2
649,2017-01-15,1,6,22,37,44,48,35,2,4,2,0,1,1,2
650,2017-01-12,18,25,27,30,40,43,6,3,3,0,1,3,1,1
651,2017-01-10,2,7,14,26,38,39,12,2,4,2,1,1,2,0
652,2017-01-07,7,10,14,29,45,46,19,3,3,2,1,1,0,2
653,2017-01-05,5,14,20,21,36,49,39,3,3,1,2,1,1,1
654,2017-01-03,4,11,22,29,37,46,18,3,3,1,1,2,1,1
655,2016-12-31,8,9,12,15,17,28,33,3,3,2,3,1,0,0
656,2016-12-29,2,11,13,15,17,21,26,5,1,1,4,1,0,0
657,2016-12-25,3,4,10,26,37,43,41,3,3,3,0,1,1,1
658,2016-12-23,4,14,16,25,32,35,47,2,4,1,2,1,2,0
659,2016-12-20,5,28,32,34,37,48,39,2,4,1,0,1,3,1
660,2016-12-18,3,10,21,26,28,38,29,2,4,2,0,3,1,0
661,2016-12-15,15,19,20,32,33,34,23,3,3,0,3,0,3,0
662,2016-12-13,7,14,26,31,38,44,37,2,4,1,1,1,2,1
663,2016-12-10,7,22,32,33,34,39,45,3,3,1,0,1,4,0
664,2016-12-08,9,24,26,28,37,39,29,3,3,1,0,3,2,0
665,2016-12-06,3,7,17,29,32,49,11,5,1,2,1,1,1,1
666,2016-12-03,8,13,23,30,47,48,7,3,3,1,1,2,0,2
667,2016-12-01,9,15,18,21,24,37,16,4,2,1,2,2,1,0
668,2016-11-29,4,11,18,22,24,49,25,2,4,1,2,2,0,1
669,2016-11-26,1,2,3,4,7,10,33,3,3,6,0,0,0,0
670,2016-11-24,3,9,24,31,38,49,41,4,2,2,0,1,2,1
671,2016-11-22,12,13,16,18,38,40,5,1,5,0,4,0,2,0
672,2016-11-19,2,6,23,24,37,42,32,2,4,2,0,2,1,1
673,2016-11-17,5,18,26,28,30,45,33,2,4,1,1,3,0,1
674,2016-11-15,10,15,17,18,27,40,26,3,3,1,3,1,1,0
675,2016-11-13,2,16,27,29,34,41,42,3,3,1,1,2,1,1
676,2016-11-10,3,17,38,39,46,49,37,4,2,1,1,0,2,2
677,2016-11-08,3,5,6,11,34,42,28,3,3,3,1,0,1,1
678,2016-11-05,9,12,31,39,42,46,48,3,3,1,1,0,2,2
679,2016-11-03,6,14,18,22,30,38,47,0,6,1,2,2,1,0
680,2016-11-01,1,2,21,31,33,36,8,4,2,2,0,1,3,0
